reviewId,userName,userImage,review,rating,date,replyReview,repliedAt,Source,Sentimen,,,,,
gp:AOqpTOEnUbk_19-MO6sPHl7z9Z5Dvv2zmmd5NY5Tcm8mJlHJpcLJUoRlQfFKWI4Chiw5QQ31A4kYsPiodrV6ofg,Della Nis94,https://play-lh.googleusercontent.com/a/AATXAJxyWZ0QCmHVNkQ0n7vNnu7IGjUa6EfvY4kNVojr=mo,Waktu blm di upgrade ataupun udah upgrage sama aja..mau daftar ke antrian faskes gangguan terus. Udah berhari-hari ga bnr jg. Tolong diperbaiki kerjanya!,1,5/19/2022 7:37,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IG",5/20/2022 16:50,Google Play Store,Negative,,,,,
gp:AOqpTOE-i_4JaevUcEqVHqOGXjj_JLsRO35lZeEgJU4FpWaQ0SsocKPLlxcAEg0KNsxbsLsMbGWa9eVCQOXVJAE,Jakarta Review,https://play-lh.googleusercontent.com/a-/AOh14GhNwj-L7Zbxqe7GtNArY_gOoVlcE66PFueOrG5y9Q,"Kirim kode verifikasi email gak masuk2 sampe saat ini gak ada email nya , aplikasi pemerintah kenapa selalu ampas!!! Yang kerja orang bawaan sih ,tolong di perbaiki lah !",1,4/20/2022 10:01,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id.

Kakak juga dapat menggunakan ""Masuk dengan Google"" untuk melakukan registrasi akun JAKI. Terima kasih telah menggunakan JAKI :) #AHL
",4/20/2022 14:37,Google Play Store,Negative,,,,Total Sentimen,
gp:AOqpTOEpoOwOrsQPdu95u3g2IOcGGWUuurm70hWbqXsFRMU6RYBLPxw-bMrSD7dkCw8t7q6EZalihd6Dm5dwhEY,Shasha Rose,https://play-lh.googleusercontent.com/a-/AOh14Gg01orfCPrznc4pgOk_c9MSFDUYa3DAukDPAd8T,"saya minta verifikasi sampe 3 kali gagal. terus, padahal nomor ktp,nama dan foto sudah sesuai. mana verifikasi sekalinya 2x24 jam udah 3 hari saya coba. setiap mendaftarkan langsung no ktp dan nama lengkap selalu ""capcha not valid"" dan aplikasi sering error.",2,4/7/2022 5:04,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #AI",4/7/2022 15:34,Google Play Store,Negative,,,,Positive,935
gp:AOqpTOGVbFw4LlhptIBTpsK1oThh1a_AwdKaxfaSvQXcUO-KjHEXT14Svhz5WZnv2XZvQziYDrNRNT92Pqtj7OA,Kris Panji Mukti,https://play-lh.googleusercontent.com/a/AATXAJzSTQNwfCWpp_pLX27nX24Bm3U-fs3_7-nwejBx=mo,"Tolong perbaiki masalah untuk pendaftaran vaksin , nomor ktp dan nama sudah sesuai 100% ko gabisa daftar dengan keterangan nama dan ktp yg tidak sesuai,daftar di vaksin 1 dan 2 tdak ada mslah , untuk yg ke 3 jadi bermsalah seperti ket di atas .",3,4/4/2022 22:29,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IG",4/5/2022 10:51,Google Play Store,Negative,,,,Negative,989
gp:AOqpTOH7dBxQ2t4OLHM5M0pP4h-_vbwOX5xPK-SA2LuIY5MhEpxwoXwYcqvpIl6r2He1yqfdiVM6SLZUcqALTp4,Dwi Wiharti,https://play-lh.googleusercontent.com/a/AATXAJzYjfXvpaX-dM0mwKDBKHkUT7hHtlsk_spirccD=mo,"Saya sudah daftar untuk vaksin booster moderna melalui aplikasi jaki dan saya datang sesuai jadwal yg ditetapkan, tapi ketika saya datang vaksin nya tidak ada. Jadi apa guna nya daftar melalui jaki....",1,5/14/2022 7:28,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #AI",5/18/2022 13:47,Google Play Store,Negative,,,,Neutral,243
gp:AOqpTOHDTTwncKCt3noPeg0jLLA8bej_RiK_q9fYYtLqbeD9Sg3qg9QrRT2XUmBjoQ8HkJNP4ZMXQiTARjO6Kmo,Agum Xsunarya,https://play-lh.googleusercontent.com/a/AATXAJzPxu_VV4dedM-AhJFlphs4cqx_BDEDft364xYo=mo,Kecewa sama buat jadwal vaksinnya. Diaplikasi katanya tersedia tapi pas sampai lokasi katanya ga bisa. Vaksin yg diminta gaada akhirnya capek jauh ga jadi vaksin. Terima kasih aplikasi udh ngerjain saya,1,5/9/2022 12:09,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IP
",5/9/2022 15:59,Google Play Store,Negative,,,,,
gp:AOqpTOEpnrW9Bn83NneMnK9ttIufUDrckitxSvHkVzJTKuz-O-hy8Y_Nswd4fBheWGiX9BWXUTCV-JmLrYM70Nw,Nur Hasanah,https://play-lh.googleusercontent.com/a/AATXAJzQ8PH0sFppmbA09QlIeTbcLf5Ef1y6LE6oPwrg=mo,"hallo jaki selamat siang,saya sudah verifikasi sukses tapi knp pas mau daftar ulang vaksin tidak bisa ya,padahal sudah bener nik dan nama sesuai ktp saya,pilihan kategori tidak juga mincul,mohon di tinjau ya,",4,4/8/2022 12:24,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #AT",4/8/2022 14:27,Google Play Store,Neutral,,,,,
gp:AOqpTOEIKPekO7hTWDvPFCToAD9SjzProZq1jMi-hIBYe6r5sA4O3xPJJP5k1K8ZNa9qnTRzOpBkEW1OVjRGfYk,Azril Ahmadinedza,https://play-lh.googleusercontent.com/a/AATXAJxsDxMR1QGZcGi-pY-H2Kd9zhSn_INKLvQq9f9i=mo,"Sangat bagus aplikasi ini, ada masalah yg berhubungan dengan masyarakat setelah di laporkan ke aplikasi jaki sangat responsif.",5,5/19/2022 14:44,,,Google Play Store,Positive,,,,,
gp:AOqpTOGLi4F_zr2oBm3N16EgpL-9yvRAdVDaUsZXBVRYEFqx4VAIhKsRx2vCrkmJAE561S0e2DnewFwm50fytGE,Armaita Devie,https://play-lh.googleusercontent.com/a-/AOh14GgC-64J3p8hgw7P9a845uh1j_93yKGwiuUS9Gap,Bagaimana cara mengganti nama lengkap saya kak? Nama lengkap saya di profil kok tidak bisa di ganti ya kak... Karna nama lengkap saya salah dari sana nya salah.,1,5/20/2022 12:31,"""Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id.

Kakak juga dapat menggunakan """"Masuk dengan Google"""" untuk melakukan registrasi akun JAKI. Terima kasih telah menggunakan JAKI :) #NAF",5/20/2022 15:50,Google Play Store,Neutral,,,,,
gp:AOqpTOHDzxE22Z8l-hqnBHUGsua0P9GXnIqo7u5ci6jzaIamsGyqvALhud--9mnKCGNVfJKBsP2FRW9Wq570pgE,Giatnika Giok,https://play-lh.googleusercontent.com/a-/AOh14Gj0cnFtpzZhkmQAPNtdAF-oK3gJTfv1XEMW08Mi,"Mantap, masalah status vaksinasi saya di terima dengan baik, dan sudah selesai di atasi, sekarang status vaksinasi saya sudah benar, terima kasih.",5,4/4/2022 13:40,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IG",4/1/2022 17:18,Google Play Store,Positive,,,,,
