userName,review,rating,date,Source
Ynuno,System sedang gangguan… benulin dong,4,2022-05-16 04:18:02,App Store
sutisnamulyana,Jadi bisa lebih pasti untuk dapet jadwal vaksin. Pendaftaran mudah dan cepat👏,5,2021-09-29 04:26:21,App Store
Lyana S,Nice app 👍🏻👍🏻👍🏻👍🏻,5,2022-05-17 09:39:28,App Store
nananananananananas,kok gak bisa masukin nik,2,2022-03-17 05:53:59,App Store
valarmorghulis12345,Gitu mulu. Gimana cara daftar booster?,1,2022-05-14 01:44:18,App Store
azizazii,"Kemarin cuma minta data via email untuk verisifkasi yg ga masuk2 ke email,gaaa dibales,sekalinya dibales minta bukti screenshot app jaki,sangat berbelit belit 😰",1,2022-05-11 07:59:21,App Store
ahl1717,Terbaikkkkkkk!,5,2022-04-19 07:41:10,App Store
WeeMilk,"Saya mengunduh dan daftar aplikasi ini demi mendapatkan vaksin booster. Proses registrasi akun jaki cepat dan mudah. Ketika di tempat vaksinasi pun saya hanya perlu menunjukkan bukti dari aplikasi jaki, tidak perlu ribet membawa banyak dokumen. Untuk penggunaan aplikasi jaki sendiri juga saya tidak menemui kendala. Keep up the good work!",5,2022-04-14 12:19:38,App Store
Fahrul Rhamajid,Ko bisa masuk AppStore dah ini aplikasi,1,2022-03-31 16:33:27,App Store
nopiarahayu,"Klik dapatkan bantuan, masukin email tapi gak muncul apa2 di email. Login kata nya blm verifikasi. Daftar ulang kata nya sudah terdaftar. Mau nya apa sih ini aplikasi??? Mau cari kontak CS lagi perbaikan. Stupidddd",1,2022-03-30 08:04:10,App Store
fivekoya,gimana sih bikin ribet bgt gaguna,1,2022-03-29 14:47:16,App Store
sgjnlvrs,"ga bisa kepake buat vaksin, ampas, ga guna",1,2022-03-25 18:15:07,App Store
narsisius,percuma daftar vaksin dari jaki gak bisa dipake gak guna. ampas,1,2022-03-25 06:22:13,App Store
Arexcool,G guna. Banyak bug,1,2022-03-24 13:47:09,App Store
Lovethisgame✌🏻️,"Tolong di upgrade lagi untuk iOS. Berkali2 data blank, server error, pilih faskes tidak bisa.",1,2022-03-22 01:53:59,App Store
racracle,"Berkali kali mau cari location vaksin booster error, buang waktu!",1,2022-03-18 12:40:47,App Store
youmaca,"Nama saya ada ‘ dlm penulisan nama, saat memasukkannya tidak ditemukan tolong untuk segera ditindak lanjuti karena ada nama yg menggunakan ‘ dalam penulisan nama. Terima kasih.",2,2022-03-08 20:34:26,App Store
