reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOEnUbk_19-MO6sPHl7z9Z5Dvv2zmmd5NY5Tcm8mJlHJpcLJUoRlQfFKWI4Chiw5QQ31A4kYsPiodrV6ofg,Della Nis94,https://play-lh.googleusercontent.com/a/AATXAJxyWZ0QCmHVNkQ0n7vNnu7IGjUa6EfvY4kNVojr=mo,Waktu blm di upgrade ataupun udah upgrage sama aja..mau daftar ke antrian faskes gangguan terus. Udah berhari-hari ga bnr jg. Tolong diperbaiki kerjanya!,1,3,1.2.45,2022-05-19 07:37:27,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IG",2022-05-20 16:50:13
gp:AOqpTOE-i_4JaevUcEqVHqOGXjj_JLsRO35lZeEgJU4FpWaQ0SsocKPLlxcAEg0KNsxbsLsMbGWa9eVCQOXVJAE,Jakarta Review,https://play-lh.googleusercontent.com/a-/AOh14GhNwj-L7Zbxqe7GtNArY_gOoVlcE66PFueOrG5y9Q,"Kirim kode verifikasi email gak masuk2 sampe saat ini gak ada email nya , aplikasi pemerintah kenapa selalu ampas!!! Yang kerja orang bawaan sih ,tolong di perbaiki lah !",1,16,1.2.44,2022-04-20 10:01:39,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id.

Kakak juga dapat menggunakan ""Masuk dengan Google"" untuk melakukan registrasi akun JAKI. Terima kasih telah menggunakan JAKI :) #AHL
",2022-04-20 14:37:30
gp:AOqpTOEpoOwOrsQPdu95u3g2IOcGGWUuurm70hWbqXsFRMU6RYBLPxw-bMrSD7dkCw8t7q6EZalihd6Dm5dwhEY,Shasha Rose,https://play-lh.googleusercontent.com/a-/AOh14Gg01orfCPrznc4pgOk_c9MSFDUYa3DAukDPAd8T,"saya minta verifikasi sampe 3 kali gagal. terus, padahal nomor ktp,nama dan foto sudah sesuai. mana verifikasi sekalinya 2x24 jam udah 3 hari saya coba. setiap mendaftarkan langsung no ktp dan nama lengkap selalu ""capcha not valid"" dan aplikasi sering error.",2,33,1.2.43,2022-04-07 05:04:56,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #AI",2022-04-07 15:34:10
gp:AOqpTOGVbFw4LlhptIBTpsK1oThh1a_AwdKaxfaSvQXcUO-KjHEXT14Svhz5WZnv2XZvQziYDrNRNT92Pqtj7OA,Kris Panji Mukti,https://play-lh.googleusercontent.com/a/AATXAJzSTQNwfCWpp_pLX27nX24Bm3U-fs3_7-nwejBx=mo,"Tolong perbaiki masalah untuk pendaftaran vaksin , nomor ktp dan nama sudah sesuai 100% ko gabisa daftar dengan keterangan nama dan ktp yg tidak sesuai,daftar di vaksin 1 dan 2 tdak ada mslah , untuk yg ke 3 jadi bermsalah seperti ket di atas .",3,23,1.2.43,2022-04-04 22:29:56,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IG",2022-04-05 10:51:58
gp:AOqpTOH7dBxQ2t4OLHM5M0pP4h-_vbwOX5xPK-SA2LuIY5MhEpxwoXwYcqvpIl6r2He1yqfdiVM6SLZUcqALTp4,Dwi Wiharti,https://play-lh.googleusercontent.com/a/AATXAJzYjfXvpaX-dM0mwKDBKHkUT7hHtlsk_spirccD=mo,"Saya sudah daftar untuk vaksin booster moderna melalui aplikasi jaki dan saya datang sesuai jadwal yg ditetapkan, tapi ketika saya datang vaksin nya tidak ada. Jadi apa guna nya daftar melalui jaki....",1,2,1.2.44,2022-05-14 07:28:36,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #AI",2022-05-18 13:47:49
gp:AOqpTOHDTTwncKCt3noPeg0jLLA8bej_RiK_q9fYYtLqbeD9Sg3qg9QrRT2XUmBjoQ8HkJNP4ZMXQiTARjO6Kmo,Agum Xsunarya,https://play-lh.googleusercontent.com/a/AATXAJzPxu_VV4dedM-AhJFlphs4cqx_BDEDft364xYo=mo,Kecewa sama buat jadwal vaksinnya. Diaplikasi katanya tersedia tapi pas sampai lokasi katanya ga bisa. Vaksin yg diminta gaada akhirnya capek jauh ga jadi vaksin. Terima kasih aplikasi udh ngerjain saya,1,0,1.2.43,2022-05-09 12:09:06,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IP
",2022-05-09 15:59:56
gp:AOqpTOEpnrW9Bn83NneMnK9ttIufUDrckitxSvHkVzJTKuz-O-hy8Y_Nswd4fBheWGiX9BWXUTCV-JmLrYM70Nw,Nur Hasanah,https://play-lh.googleusercontent.com/a/AATXAJzQ8PH0sFppmbA09QlIeTbcLf5Ef1y6LE6oPwrg=mo,"hallo jaki selamat siang,saya sudah verifikasi sukses tapi knp pas mau daftar ulang vaksin tidak bisa ya,padahal sudah bener nik dan nama sesuai ktp saya,pilihan kategori tidak juga mincul,mohon di tinjau ya,",4,5,1.2.43,2022-04-08 12:24:03,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #AT",2022-04-08 14:27:47
gp:AOqpTOEIKPekO7hTWDvPFCToAD9SjzProZq1jMi-hIBYe6r5sA4O3xPJJP5k1K8ZNa9qnTRzOpBkEW1OVjRGfYk,Azril Ahmadinedza,https://play-lh.googleusercontent.com/a/AATXAJxsDxMR1QGZcGi-pY-H2Kd9zhSn_INKLvQq9f9i=mo,"Sangat bagus aplikasi ini, ada masalah yg berhubungan dengan masyarakat setelah di laporkan ke aplikasi jaki sangat responsif.",5,0,1.2.45,2022-05-19 14:44:28,,
gp:AOqpTOGLi4F_zr2oBm3N16EgpL-9yvRAdVDaUsZXBVRYEFqx4VAIhKsRx2vCrkmJAE561S0e2DnewFwm50fytGE,Armaita Devie,https://play-lh.googleusercontent.com/a-/AOh14GgC-64J3p8hgw7P9a845uh1j_93yKGwiuUS9Gap,Bagaimana cara mengganti nama lengkap saya kak? Nama lengkap saya di profil kok tidak bisa di ganti ya kak... Karna nama lengkap saya salah dari sana nya salah.,1,0,1.2.45,2022-05-20 12:31:00,"""Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id.

Kakak juga dapat menggunakan """"Masuk dengan Google"""" untuk melakukan registrasi akun JAKI. Terima kasih telah menggunakan JAKI :) #NAF",2022-05-20 15:50:12
gp:AOqpTOHDzxE22Z8l-hqnBHUGsua0P9GXnIqo7u5ci6jzaIamsGyqvALhud--9mnKCGNVfJKBsP2FRW9Wq570pgE,Giatnika Giok,https://play-lh.googleusercontent.com/a-/AOh14Gj0cnFtpzZhkmQAPNtdAF-oK3gJTfv1XEMW08Mi,"Mantap, masalah status vaksinasi saya di terima dengan baik, dan sudah selesai di atasi, sekarang status vaksinasi saya sudah benar, terima kasih.",5,1,1.2.43,2022-04-04 13:40:18,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IG",2022-04-01 17:18:05
